0.156661139,68,-3,-73,-82,-91
0.9576619138,61,72,3,-92,31
0.5623954827,39,-41,-95,-75,73
0.271412005,27,-82,-65,22,-39
0.9202764906,60,52,-63,-42,34
0.07549451507,93,52,94,-33,-19
0.8043074587,76,24,84,-98,-27
0.1472952611,54,-82,87,-83,10
0.1610772192,-59,50,50,56,80
0.6991604864,-67,14,-58,32,99
0.9673045423,62,64,-68,-93,-46
0.05251654429,68,-9,-42,-28,-3
0.186862604,29,77,71,-44,41
0.02051210393,-73,69,57,-65,40
0.2832580727,-96,6,-64,47,-91
0.670037002,14,-31,62,0,-64
0.6156243773,-1,82,28,29,-34
0.2440539789,11,-66,-9,-98,-93
0.4114065661,-88,67,-43,83,33
0.05963647161,67,-9,-95,-45,-74
