0.6705272936,22,96,-18,-94,-71
0.3857323481,-58,-14,84,-26,-52
0.7479182663,34,-40,-4,31,34
0.7556481022,90,-30,-59,-45,42
0.9867973115,97,83,-49,-9,-8
0.3356052835,2,-33,64,-97,-95
0.3271184517,87,-86,8,11,-38
0.1840960594,-12,-18,53,20,10
0.3156332516,54,96,-99,75,33
0.8654750368,10,45,72,4,-66
0.3127756894,85,-99,-4,19,76
0.07750252498,44,-4,-16,64,-66
0.2216029983,14,33,-68,91,-94
0.5267147462,-70,28,15,-7,-33
0.3944637164,76,87,60,59,-41
0.9157905254,-30,3,73,-86,90
0.2287355281,-57,23,100,-59,-72
0.2701092285,27,-27,98,0,32
0.4263727392,-88,22,-22,-78,7
0.7863113094,-21,31,80,8,8
